business_name,tier,geography,invoice_count_90d,invoice_value_90d,estimate_count_90d,estimate_value_90d,order_count_90d,order_value_90d,receivable_amount,overdue_amount,buyer_app_enabled,has_active_price_list,has_active_cohort,health_reason,last_invoice_at,last_buyer_app_activity_at
SRI SECURITY SYSTEMS  8309099129,,,4,281050.00,3,147810.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-16 18:30:00+00,
ADITHYA SECURITY SYTEMS,,,29,280376.00,4,108000.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
Suraj Infosystems,,,19,279009.00,1,67508.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
RATNAMANI ENTERPRISES,,,5,275690.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-05 18:30:00+00,
ASURA CCTV SECURITY CAMERAS,,,34,271695.00,5,50860.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
SRI NANDI PROTECTION SECURITY SYSTEMS 9010226968,,,24,271380.00,12,1530535.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-18 18:30:00+00,
JK TECHNOLOGY 9030977549,,,61,270654.00,13,779552.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-18 18:30:00+00,
REY TECHNO SOLUTIONS,,,2,268421.00,8,949756.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-30 18:30:00+00,
VIJAYA KUMAR TALLARI,,,16,265360.00,2,65630.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-16 18:30:00+00,
Tropowave Network Solutions (OPC) Private Limited,,,13,263522.00,8,335690.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-10 18:30:00+00,
BALAJI ENTERPRISES & COMMUNICATIONS 90300 30427,,,13,263425.00,3,180925.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
R J ENTERPRISES,,,46,260604.00,17,313122.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
HI VISION SECURITY SYSTEMS,,,69,256674.00,2,29681.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
CORE LINKS IT SOLUTIONS 9000130411,,,12,253222.00,7,274544.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-19 18:30:00+00,
DIGITAL EYE,,,33,249193.00,1,11190.00,0,0.00,40150.00,31500.00,True,False,False,overdue,2026-07-22 18:30:00+00,
SRI ABLE TECHNOLOGY9381661832,,,33,246109.00,14,578158.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
SWAMY NAIDU  3863,,,3,244750.00,3,388360.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
ABHYSHIV ENGINEERING & PROJECTS PRIVATE LIMITED  8886926182,,,3,243720.00,4,382420.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-09 18:30:00+00,
Mr. Surya Reddy 9000852526,,,1,243100.00,1,9381.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-05 18:30:00+00,
SATHYA LAXMI IT SOLUTIONS,,,153,242187.00,15,255258.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
SVR SAFETY SYSTEMS,,,28,240625.00,13,194210.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
DHANLAXMI SECURITY SYSTEMS,,,6,240440.00,3,257140.00,0,0.00,1780.00,1780.00,False,False,False,overdue,2026-07-17 18:30:00+00,
SRUPA COMMUNICATIONS,,,7,240005.00,6,520210.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
GSR  TECH SOLUTIONS,,,20,239070.00,8,319572.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-12 18:30:00+00,
VEDHASRI SECURRITY SYSTEMS,,,27,238138.00,6,319070.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-17 18:30:00+00,
GENUINE SECURITY SYSTEM,,,28,236910.00,2,31580.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
ABK INNOVATIONS 8885250144,,,10,233822.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-17 18:30:00+00,
KISHOR 9441172147,,,14,232045.00,3,21670.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
krishna electronics 9849010491,,,10,231460.00,15,317580.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
TEJAS MARKETING 9959891087,,,4,231330.00,16,1415790.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-19 18:30:00+00,
SK ENTERPRISES,,,22,231268.00,2,443140.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
JAI ENTERPRISE'S  9885676366,,,49,226800.00,16,468507.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
PCS Computers,,,20,225080.00,2,94810.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-12 18:30:00+00,
SAFETY AND  SECURITY SYSTEMS,,,38,223705.00,1,12000.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-19 18:30:00+00,
KASHIF AHMED,,,39,222877.00,2,113040.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
SUNRAISE POWER TECH 9505533664,,,3,221930.00,4,350500.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-05-12 18:30:00+00,
MEGHANA SYSTEMS AND SERVICES,,,60,218661.00,6,220072.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
SMART SAFETY SOLUTIONS 7893444855,,,13,218470.00,16,1088390.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-18 18:30:00+00,
CLOUDWINDOWS NETWORK & TECHNOLOGIES 9908717197,,,3,215920.00,9,730360.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-14 18:30:00+00,
ANIL TECH SOLUTION'S,,,11,215100.00,2,57350.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-01 18:30:00+00,
SHARABA SECURITY AND SERVICES,,,39,213089.00,3,120357.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
PRAVEEN ENTERPRISE,,,29,212330.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
LAVANYA IT SOLUTIONS,,,31,210745.00,0,0.00,0,0.00,30.00,30.00,False,False,False,overdue,2026-07-21 18:30:00+00,
SJP TECHNOLOGIES,,,31,207958.00,7,135968.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
MUNEER MOTORS,,,4,207519.00,7,704602.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-12 18:30:00+00,
NATIONAL COMMUNICATIONS,,,41,204408.00,6,84700.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
SRI VISION SECURITY SOLUTIONS,,,36,204024.00,7,405328.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-19 18:30:00+00,
AISHWARYA SECURITY SOLUTION,,,30,202927.00,5,237579.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-19 18:30:00+00,
S R SOLUTIONS,,,40,200844.00,9,160832.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
SRI GLOBAL 1 COMPUTERS & SECURITY NEEDS,,,38,200786.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-17 18:30:00+00,
BHARGAV SECURITY SYSTEMS,,,18,199904.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
NMS CCTV SECURITY SYSTEMS,,,58,199572.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
JAMES AUDIO AND VIDEO,,,27,196296.00,0,0.00,0,0.00,43400.00,43400.00,True,False,False,overdue,2026-07-20 18:30:00+00,
SLV NETWORKS 9581965939,,,7,195980.00,13,342480.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-28 18:30:00+00,
AAKRUTI ENGINEERING 9014373583,,,6,195660.00,6,505750.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
CITY PRO SECURITY SERVICES,,,32,194696.00,21,143962.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-06-17 18:30:00+00,
Mr. Narayana 7729848081,,,1,194100.00,3,366670.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-05 18:30:00+00,
N4D ENTERPRISES,,,22,194005.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-19 18:30:00+00,
VARIANT VISION SECURITY SOLUTION 9393123146,,,22,191802.00,10,295028.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
SVR FIRESERVICES 9912410940,,,3,189110.00,2,299980.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-06 18:30:00+00,
PRVN SECURITY SYSTEMS,,,38,187929.00,19,216570.00,0,0.00,175.00,175.00,True,False,False,overdue,2026-07-22 18:30:00+00,
JITENDER,,,38,185021.00,4,22382.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
Sans Info  9985004123,,,15,183250.00,10,393601.00,0,0.00,61710.00,10550.00,True,False,False,overdue,2026-07-17 18:30:00+00,
JEEVAN CCTV SECURITY SYSTEMS,,,34,182565.00,8,115788.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
JK SECURITY SYSTEMS,,,39,174188.00,1,143830.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
SRK TECHNOLOGIES,,,39,171854.00,4,95500.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-16 18:30:00+00,
I VISION TECHNOLOGIES 8186040403,,,40,171789.00,5,205360.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
Mr. Shabarinath 9972311348,,,2,171020.00,7,1099820.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-05-29 18:30:00+00,
DOTCH INFO TECH SECURITY SYSTEM MD KAUSAR,,,41,170910.00,8,215720.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
DIGITAL SECURE CCTV SOLUTION 7660042574,,,8,169660.00,5,1180780.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-17 18:30:00+00,
E-NAYAN INFOTECH,,,24,169160.00,10,233900.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-19 18:30:00+00,
SILVERLINE TECHNO SOLUTIONS  9100091212,,,1,166500.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-05-25 18:30:00+00,
PATTANCHERU ENVIRO-TECH LIMITED,,"{'city': 'Sangareddy', 'state': 'Telangana', 'address': 'PLOT NO 23 24 25, , PHASE IV IDA PATANCHERU', 'country': 'India', 'pincode': '502319'}",4,165870.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
AL NOORS IT SOLUTIONS PRIVATE LIMITED,,,39,164204.00,30,166169.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
CS SOLUTION'S,,,24,161340.00,13,215164.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-18 18:30:00+00,
SRI VAISHNAVA INTERIORS,,,1,161200.00,2,319700.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-07 18:30:00+00,
SRI SAI COMPUTER WORLD,,,26,160610.00,1,4990.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
SATISH  CCTV,,,20,160610.00,19,296561.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
UKG THE TRAINER,,,48,159519.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
ASK ME SOLUTION,,,1,159250.00,5,1774790.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-15 18:30:00+00,
VISION TECH,,,28,159235.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
SS Fire & Safety Systems,,,14,158305.00,5,224066.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-12 18:30:00+00,
skynexa info sec solutions,,,1,157412.00,7,1065494.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-12 18:30:00+00,
SRI SAI CABLE NETWORKS 9081819999,,,6,156190.00,9,1553530.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
SRI LAXMI COMPUTERS,,,20,155438.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-19 18:30:00+00,
SSSK SOLUTIONS,,,25,154850.00,3,44810.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
ASHOKA COMPUTER SOLUION 9573903198,,,15,154132.00,6,185353.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
SRIRAM ELECTRONICS SECURITY SOLUTION,,,43,153646.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
ARAVIND CCTV,,,37,151755.00,1,76230.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
RUDRA SMART SOLUTIONS,,,36,149766.00,2,12642.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-13 18:30:00+00,
PRENIGA SECURITY SOLUTIONS,,,14,148556.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-14 18:30:00+00,
MAHENDER,,,7,147248.00,3,239390.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-26 18:30:00+00,
ELECTRO OPTICAL INSTRUMENTS RESEARCH ACADEMY,,,2,146900.00,1,107660.00,3,293800.00,0.00,0.00,False,False,False,no_app_access,2026-06-29 18:30:00+00,
Sree Sai Surveillance Security Solution,,,61,145530.00,1,1900.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
MUKESH GANGAJI,,,34,145481.00,5,1176298.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
RADHA SOLUTIONS,,,26,145169.00,2,83970.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
SRI SURYA TEJA SOLUTIONS 9912342528,,,11,144160.00,3,67850.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
ANANYA ENTERPRISES 8309823468,,,35,143493.00,3,78406.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-20 18:30:00+00,
SRIKANTH,,,26,143068.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-12 18:30:00+00,
S Madhusudhan,,,2,142220.00,2,283200.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-05-14 18:30:00+00,
OM VEERA BHADRA ELECTRONICS 9246214261,,,5,142100.00,1,15600.00,0,0.00,115500.00,60000.00,False,False,False,overdue,2026-07-21 18:30:00+00,
Cybernet Technologies Vikarabad 8121114343,,,4,137790.00,8,1375850.00,0,0.00,109589.00,70229.00,False,False,False,overdue,2026-07-13 18:30:00+00,
GLANCE TECHNOLOGIES 9030416055,,,15,137435.00,10,169790.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-19 18:30:00+00,
MANIKANTA,,,29,136985.00,12,204498.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-19 18:30:00+00,
MP SOLAR TECHNOLOGIES AND DESIGN CONSULTANTS 9989970415,,,29,136653.00,13,105113.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
Mr. Rohan 9951545555,,,3,136045.00,6,266500.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-14 18:30:00+00,
S5 BROADBAND SERVICE,,,17,135887.00,2,21368.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
S S SOLUTIONS 9866467595,,,15,133381.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-05 18:30:00+00,
RELIANCE TECHNOLOGIES,,,3,132000.00,0,0.00,0,0.00,132000.00,132000.00,False,False,False,overdue,2026-06-22 18:30:00+00,
R P TECHNOLOGIES,,,22,131920.00,0,0.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
KISHOR SAMA 9508,,,2,130560.00,2,130880.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-09 18:30:00+00,
FYRA FOODS,,,1,130160.00,4,576120.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-05-01 18:30:00+00,
Primark High View 9010950795,,,2,130120.00,5,758740.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-01 18:30:00+00,
K2S DIGITALS 9654385261,,,21,129838.00,5,1089000.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-18 18:30:00+00,
MANIKANTA  TECHNOLOGIES,,,32,129621.00,2,30567.00,0,0.00,7600.00,7600.00,True,False,False,overdue,2026-07-22 18:30:00+00,
V L SOLUTIONS SALES & SERVICES,,,37,129099.00,17,624337.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
AMOGHA ENGINEERING & TECHNOLOGIES 7702024764,,,1,127810.00,3,504370.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-05-03 18:30:00+00,
SRI DURGABHAVANI,,,13,127750.00,2,23980.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-18 18:30:00+00,
SR SECURITY SYSTEMS RAJU,,,24,127489.00,2,45990.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
5E INFRATECH SERVICES LLP,,,16,125740.00,10,255413.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
ADINA SEGUREY SOLUTIONS,,,17,125363.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
SHARANYA ENTERPRISES,,,25,125024.00,1,420.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
SHIVA SAI TECHNOLOGY CCTV,,,18,124578.00,5,154540.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-05 18:30:00+00,
SMART SECURITY  SOLUTIONS  9966618235,,,24,122790.00,0,0.00,0,0.00,4980.00,4980.00,False,False,False,overdue,2026-07-19 18:30:00+00,
LOGGIN DIGITAL PRIVATE LIMITED  9281030632,,"{'city': 'Hyderabad', 'state': 'Telangana', 'address': '2-41/11,6/2, CITY MALL, MYTRI SQUARE', 'country': 'India', 'pincode': '500084'}",8,122018.00,11,283132.00,0,0.00,59750.00,59750.00,False,False,False,overdue,2026-07-15 18:30:00+00,
P P HOMELAND SECURTITY SOLUIONS,,,9,121764.00,7,165094.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-17 18:30:00+00,
